55, 9139826
101, 47212345
17, 2567890
64, 9878901
105, 51656789
29, 6789012
45, 3234567
41, 8890123
110, 57101234
4, 7345678
69, 15323456
6, 9567890
34, 2234567
81, 3386744
21, 6901234
76, 23090123
79, 26323456
10, 4901234
83, 29656789
13, 8234567
49, 7678901
102, 48323456
98, 45090123
30, 7890123
23, 9123456
40, 7789012
33, 1123456
91, 2455794
97, 43989012
44, 2123456
87, 34090123
99, 28612
16, 6334568
73, 19767890
50, 8789012
89, 36212345
26, 3456789
88, 35101234
37, 5567890
7, 1678901
84, 30767890
1, 7697582
100, 46101234
32, 9012345
62, 8767890
93, 39545678
18, 3678901
8, 2789012
107, 53878901
80, 27434567
25, 2345678
67, 13101234
5, 8456789
39, 6678901
74, 20878901
19, 4789012
75, 21989012
68, 14212345
53, 3358290
24, 1234567
78, 25212345
35, 3345678
86, 32989012
90, 37323456
70, 16434567
38, 999283
15, 1456789
27, 4567890
66, 12090123
3, 6234567
82, 28545678
60, 7656789
106, 52767890
96, 42878901
94, 40656789
14, 9345678
31, 8901234
9, 3890123
2, 5123456
77, 24101234
71, 17545678
59, 6545678
61, 3415875
58, 5434567
95, 41767890
42, 9901234
46, 4345678
57, 4323456
92, 38434567
63, 128174
85, 31878901
11, 6012345
52, 1090123
22, 8012345
103, 49434567
72, 18656789
47, 5456789
12, 7123456
54, 2101234
28, 5678901
20, 5890123
104, 50545678
43, 1012345
65, 10989012
51, 9890123
36, 4456789
48, 6567890
56, 3212345
109, 56090123
108, 54989012
